date,epiyear,epiweek,location,flu.admits
2022-10-15,2022,41,11,2
2022-10-22,2022,42,11,8
2022-10-29,2022,43,11,11
2022-11-05,2022,44,11,36
2022-11-12,2022,45,11,44
2022-11-19,2022,46,11,35
2022-11-26,2022,47,11,70
2022-12-03,2022,48,11,56
2022-12-10,2022,49,11,42
2022-12-17,2022,50,11,20
2022-12-24,2022,51,11,26
2022-12-31,2022,52,11,27
2023-01-07,2023,1,11,15
2023-01-14,2023,2,11,5
2023-01-21,2023,3,11,10
2023-01-28,2023,4,11,6
2023-02-04,2023,5,11,8
2023-02-11,2023,6,11,6
2023-02-18,2023,7,11,4
2023-02-25,2023,8,11,4
2023-03-04,2023,9,11,5
2023-03-11,2023,10,11,1
2023-03-18,2023,11,11,3
2023-03-25,2023,12,11,2
2023-04-01,2023,13,11,11
2023-04-08,2023,14,11,3
2023-04-15,2023,15,11,3
2023-04-22,2023,16,11,3
2023-04-29,2023,17,11,1
2023-05-06,2023,18,11,1
2023-05-13,2023,19,11,1
2023-05-20,2023,20,11,2
2023-05-27,2023,21,11,6
2022-02-12,2022,6,12,64
2022-02-19,2022,7,12,74
2022-02-26,2022,8,12,66
2022-03-05,2022,9,12,72
2022-03-12,2022,10,12,69
2022-03-19,2022,11,12,73
2022-03-26,2022,12,12,109
2022-04-02,2022,13,12,96
2022-04-09,2022,14,12,103
2022-04-16,2022,15,12,165
2022-04-23,2022,16,12,163
2022-04-30,2022,17,12,179
2022-05-07,2022,18,12,223
2022-05-14,2022,19,12,306
2022-05-21,2022,20,12,406
2022-05-28,2022,21,12,542
2022-06-04,2022,22,12,680
2022-06-11,2022,23,12,556
2022-06-18,2022,24,12,465
2022-06-25,2022,25,12,321
2022-07-02,2022,26,12,205
2022-07-09,2022,27,12,177
2022-07-16,2022,28,12,134
2022-07-23,2022,29,12,97
2022-07-30,2022,30,12,81
2022-08-06,2022,31,12,87
2022-08-13,2022,32,12,89
2022-08-20,2022,33,12,67
2022-08-27,2022,34,12,75
2022-09-03,2022,35,12,70
2022-09-10,2022,36,12,60
2022-09-17,2022,37,12,78
2022-09-24,2022,38,12,81
2022-10-01,2022,39,12,77
2022-10-08,2022,40,12,110
2022-10-15,2022,41,12,105
2022-10-22,2022,42,12,125
2022-10-29,2022,43,12,260
2022-11-05,2022,44,12,304
2022-11-12,2022,45,12,490
2022-11-19,2022,46,12,504
2022-11-26,2022,47,12,803
2022-12-03,2022,48,12,896
2022-12-10,2022,49,12,789
2022-12-17,2022,50,12,891
2022-12-24,2022,51,12,982
2022-12-31,2022,52,12,1297
2023-01-07,2023,1,12,1213
2023-01-14,2023,2,12,714
2023-01-21,2023,3,12,577
2023-01-28,2023,4,12,410
2023-02-04,2023,5,12,343
2023-02-11,2023,6,12,300
2023-02-18,2023,7,12,226
2023-02-25,2023,8,12,201
2023-03-04,2023,9,12,184
2023-03-11,2023,10,12,188
2023-03-18,2023,11,12,201
2023-03-25,2023,12,12,162
2023-04-01,2023,13,12,162
2023-04-08,2023,14,12,182
2023-04-15,2023,15,12,135
2023-04-22,2023,16,12,141
2023-04-29,2023,17,12,141
2023-05-06,2023,18,12,125
2023-05-13,2023,19,12,135
2023-05-20,2023,20,12,136
2023-05-27,2023,21,12,140
2022-02-12,2022,6,13,38
2022-02-19,2022,7,13,45
2022-02-26,2022,8,13,35
2022-03-05,2022,9,13,28
2022-03-12,2022,10,13,37
2022-03-19,2022,11,13,34
2022-03-26,2022,12,13,33
2022-04-02,2022,13,13,46
2022-04-09,2022,14,13,31
2022-04-16,2022,15,13,41
2022-04-23,2022,16,13,44
2022-04-30,2022,17,13,41
2022-05-07,2022,18,13,43
2022-05-14,2022,19,13,43
2022-05-21,2022,20,13,49
2022-05-28,2022,21,13,64
2022-06-04,2022,22,13,63
2022-06-11,2022,23,13,38
2022-06-18,2022,24,13,36
2022-06-25,2022,25,13,26
2022-07-02,2022,26,13,34
2022-07-09,2022,27,13,23
