forecast_date,target,target_end_date,location,type,quantile,value
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.025,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.025,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.025,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.050,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.050,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.050,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.050,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.100,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.100,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.100,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.100,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.150,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.150,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.150,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.150,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.200,75
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.200,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.200,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.200,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.250,153
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.250,65
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.250,51
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.250,38
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.300,224
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.300,151
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.300,141
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.300,133
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.350,289
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.350,230
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.350,225
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.350,222
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.400,351
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.400,305
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.400,305
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.400,305
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.450,411
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.450,378
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.450,383
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.450,387
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.500,470
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.500,450
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.500,459
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.500,466
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.550,529
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.550,521
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.550,535
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.550,546
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.600,588
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.600,594
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.600,612
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.600,627
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.650,650
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.650,670
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.650,692
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.650,711
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.700,716
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.700,749
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.700,776
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.700,800
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.750,786
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.750,835
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.750,866
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.750,895
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.800,864
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.800,930
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.800,968
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.800,1001
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.850,956
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.850,1041
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.850,1085
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.850,1125
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.900,1071
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.900,1181
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.900,1234
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.900,1281
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.950,1241
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.950,1388
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.950,1453
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.950,1511
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.975,1389
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.975,1568
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.975,1644
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.975,1712
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.990,1561
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.990,1777
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.990,1866
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.990,1944
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,point,NA,276
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,point,NA,396
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,point,NA,435
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,point,NA,419
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.010,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.010,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.010,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.010,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.025,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.025,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.025,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.025,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.050,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.050,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.050,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.050,0
